"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10z"
"100316B",1.18,0.57978359661681,-6.69897000433602,0.113943352306837,2.23,21.4131521794925,-11.7542,4.081453,1.967914,1.14,0.0334072678387117,0.18,0.27115,0.206598,0.187277,0.14,0.338456493604605
"100513A",4.772,1.92427928606188,-5.85387196432176,-0.221848749616356,1.62,22.0524053421922,-13.0903,4.323621,1.387361,1.2,0.072382413650542,0.14,0.168576,0.213691,0.282343,0.1,0.761326322421457
"100621A",0.54,1.80311555489003,-4.67778070526608,1.10720996964787,1.9,22.2845480339141,-11.87,4.18,1.55,0.78,0.0101787769196075,0.03,0.03,0.02,0.05,0.09,0.187520720836463
"100901A",1.41,2.64001409543392,-5.67778070526608,-0.0969100130080564,1.52,21.4796472787694,-12.17,4.9,1.6,0.74,0.108573620475813,0.21,0.02,0.02,0.03,0.02,0.382017042574868
"100906A",1.73,2.05819818787825,-4.92081875395237,1.00432137378264,1.78,21.9619808069943,-10.419,2.603734,1.09688,0.84,0.0171997814615149,0.03,0.019906,0.023956,0.015473,0.22,0.436162647040756
"110205A",2.21,2.42618582524451,-4.76955107862173,0.556302500767287,1.8,21.3704298125407,-13.04,4.79,1.95,0.74,0.0241274712168473,0.04,0.06,0.03,0.11,0.04,0.506505032404872
"110213A",1.4607,1.68124123737559,-5.22914798835786,0.204119982655925,1.83,21.5670840328713,-11.5304,4.36285,1.91037,0.9,0.162860430713719,0.12,0.0418,0.03889,0.065815,0.06,0.391058669254855
"110422A",1.77,1.41329976408125,-4.38721614328026,1.48713837547719,0.86,22.0208831169582,-12.228,3.341312,0.628948,0.886,0.0141464000619952,0.1,0.131094,0.242676,0.035661,0.042,0.442479769064449
"110503A",1.613,1,-5,0.130333768495006,0.88,21.1363875861028,-12.984,4.715862,1.398045,0.8,0.0193019769734779,0.25,0.066674,0.06045,0.139784,0.04,0.417139409727326
"110715A",0.82,1.11394335230684,-4.92811799269387,1.73158876518674,1.25,22.0746007020993,-12.24,5.19,1.51,0.9,0.0088631526919031,0.12,0.06,0.06,0.09,0.22,0.260071387985075
"110731A",2.83,1.58883172559421,-5.22184874961636,1.04139268515823,1.15,21.9595412590652,-12.6474,4.116949,1.162251,0.65,0.0118443949609978,0.05,0.14345,0.236205,0.109516,0.07,0.583198773968623
"111107A",2.893,1.42488163663107,-6.05551732784983,0.0791812460476248,1.49,21.5667520502364,-12.5259,3.190433,0.733879,1,0.072382413650542,0.14,0.238146,0.380189,0.082265,0.09,0.590284403718162
"111209A",0.68,2.50514997831991,-4.44369749923271,-0.301029995663981,1.48,21.1400993248508,-12.22,4.38,1.33,1.05,0.0868588963806504,0.03,0.08,0.08,0.16,0.06,0.225309281725863
"111228A",0.714,2.00518051250378,-5.07058107428571,1.09342168516224,2.27,21.4134271831505,-12.0111,4.28017,0.93593,0.69,0.0175118742702924,0.06,0.00575,0.008735,0.005345,0.07,0.234010817587179
"120119A",3.1,2.40449161775869,-4.76955107862173,1.01283722470517,1.38,22.0220281244648,-12,3.44,1.51,0.89,0.0126493538418423,0.04,0.06,0.05,0.08,0.01,0.612783856719735
"120404A",2.87,1.68124123737559,-5.79588001734407,0.0791812460476248,1.85,21.7098353631218,-12.1911,3.966545,1.744036,1.05,0.072382413650542,0.13,0.046053,0.034115,0.085691,0.09,0.587710965018911
"120729A",0.8,1.97220283837906,-5.61978875828839,0.462397997898956,1.62,21.3479206443873,-12.03,3.81,2.13,0.89,0.0299513435795346,0.08,0.03,0.02,0.05,0.12,0.255272505103306
"120815A",2.36,0.986771734266245,-6.30980391997149,0.342422680822206,2.29,21.7724273330753,-12.3315,3.266303,0.6555,0.78,0.0592219748049889,0.23,0.015728,0.033134,0.020651,0.01,0.526339277389844
"120907A",0.97,1.22788670461367,-6.17392519729917,0.462397997898956,1.73,21.0438100974747,-12.0278,2.844131,0.787589,0.7,0.0599026871590692,0.25,0.078492,0.160635,0.055886,0.06,0.294466226161593
"121128A",2.2,1.36735592102602,-5.16115090926274,1.11058971029925,1.32,22.0402976733914,-11.4998,3.026683,0.954088,0.8,0.0134664955628915,0.18,0.117789,0.179004,0.16947,0.05,0.505149978319906
"121217A",3.1,2.89097959698969,-5.20760831050175,0.255272505103306,1.53,21.6003031960224,-12.2295,3.47558,0.775179,0.87,0.0241274712168473,0.08,0.1152,0.0991,0.028589,0.04,0.612783856719735
"140206A",2.73,1.97127584873811,-4.79588001734407,1.28780172993023,1.04,22.005313527003,-10.879,2.792837,0.782606,0.8,0.0111931567500838,0.15,0.019998,0.061447,0.017861,0.03,0.571708831808688
"140423A",3.26,2.12710479836481,-5.0268721464003,0.322219294733919,1.33,21.8194636494443,-12.7746,4.184892,1.024631,0.54,0.0413613792288811,0.06,0.051905,0.057199,0.027846,0.08,0.629409599102719
"140430A",1.6,2.23952470315667,-5.95860731484177,0.397940008672038,2,21.6779699295723,-12.35,3.84,0.78,1.05,0.0347435585522601,0.22,0.02,0.04,0.03,0.08,0.414973347970818
"140907A",1.21,1.89872518158949,-5.36653154442041,0.397940008672038,1.72,21.4811071031878,-12.4311,4.201713,0.985034,1,0.0347435585522601,0.07,0.052537,0.073581,0.036083,0.07,0.344392273685111
"141121A",1.47,2.74028371968188,-5.27572413039921,-0.0457574905606751,1.73,21.5959071741383,-13.6665,5.982598,1.859053,0.9,0.144764827301084,0.13,0.125949,0.078746,0.276557,0.07,0.392696953259666
"141221A",1.45,1.52074547151948,-5.67778070526608,0.491361693834273,1.74,21.4678876805073,-11.3914,2.813159,1.248584,0.26,0.0280189988324679,0.08,0.019721,0.020312,0.033612,0.09,0.389166084364532
"150323A",0.593,2.17493159352844,-5.21467016498923,0.732393759822969,1.85,21.6926962555066,-13.0735,3.67566,0.561833,1.1,0.0241274712168473,0.07,0.057188,0.12415,0.05679,0.21,0.202215775801131
"151027A",0.81,2.11290649025331,-5.10790539730952,0.832508912706236,1.72,21.6507648945165,-11.4508,4.619188,1.852192,0.97,0.0383201013444046,0.05,0.01712,0.010892,0.014865,0.04,0.257678574869184
"160131A",0.972,2.51188336097887,-4.6903698325741,0.806179973983887,1.24,21.6809670024194,-11.1733,4.001806,1.287451,0.97,0.0203575538392149,0.05,0.041241,0.050707,0.038892,0.04,0.294906910605192
"160227A",2.38,2.50037371435337,-5.50863830616573,-0.221848749616356,0.75,21.4198962972673,-12.5779,3.999011,1.090414,0.7,0.072382413650542,0.51,0.508355,0.579293,0.340707,0.04,0.528916700277655
"160425A",0.555,2.48370138233946,-5.67778070526608,0.447158031342219,2.2,22.0551068124653,-12.4781,3.623299,0.859364,1.5,0.0310210344216608,0.18,0.257417,0.431716,0.204329,0.09,0.191730393362856
"160804A",0.736,2.15896526038341,-4.94309514866353,0.462397997898956,1.4,21.3021468665999,-12.9742,4.72111,1.018609,0.9,0.0449270153693019,0.23,0.063504,0.077461,0.087949,0.07,0.239549720840473
"161014A",2.823,1.26245108973043,-5.72124639904717,0.462397997898956,1.47,22.1865749602921,-12.6812,3.993669,1.360776,0.8,0.0898540307386038,0.15,0.140665,0.162303,0.140234,0.06,0.582404298019028
"161219B",0.1475,0.841359470454855,-5.82390874094432,0.724275869600789,1.29,21.1659087660819,-12.9799,6.538578,0.890149,0.49723,0.0327769420304341,0.35,0.075567,0.110939,0.142427,0.01068,0.0597526942092988
"170113A",1.968,1.3151303171836,-6.17392519729917,0.0413926851582251,0.75,21.4429483034211,-12.5021,3.874501,1.095671,0.8,0.0394813165366592,0.59,0.110016,0.186127,0.149224,0.04,0.472463896606989
"170604A",1.329,1.42651126136458,-5.29242982390206,0.6232492903979,1.31,21.1605585621076,-12.2206,3.774653,0.647616,0.8,0.0930631032649825,0.12,0.232991,0.434719,0.061559,0.05,0.367169488534681
"180205A",1.409,1.19033169817029,-6,0.531478917042255,2.04,21.4933967016953,-12.8827,5.013912,1.074976,0.9,0.0383201013444046,0.13,0.024501,0.030888,0.047995,0.09,0.381836799998343
"180325A",2.248,1.97358962342726,-5.18708664335714,0.973127853599699,1.18,22.1431959788594,-12.717,3.915432,1.426558,1.13703,0.0138604621884017,0.05,0.072161,0.045784,0.049597,0.1041,0.511616020569138
"191011A",1.722,0.867467487859051,-6.48148606012211,0.255272505103306,1.94,21.6503347264086,-12.8184,3.303409,0.811693,0.9,0.0482549424336946,0.17,0.089478,0.236045,0.140267,0.09,0.434888120867316
"200829A",1.25,1.1152775913959,-4.29242982390206,1.99431715266964,0.83,21.0896684800723,-10.8633,3.317225,1.301598,0.9,0.00704023476236274,0.03,0.026536,0.036463,0.022447,0.04,0.352182518111362
"201014A",4.56,1.55870857053317,-6.50863830616573,-0.522878745280338,2.55,22.1524656960528,-13.7541,5.031584,1.038298,0.9,0.289529654602168,0.37,0.092274,0.110179,0.170451,0.15,0.745074791582057
"201015A",0.426,0.990338854787601,-6.69897000433602,0.255272505103306,3.03,21.3553614717945,-12.8744,4.275441,0.481067,1.1,0.0965098848673893,0.68,0.09442,0.229803,0.027144,0.24,0.154119525515847
"210210A",0.715,0.819543935541869,-6.0087739243075,0.845098040014257,1.53,21.1231954587923,-11.7476,3.875593,1.44657,0.81,0.0310210344216608,0.58,0.033076,0.03022,0.031618,0.07,0.234264124378789
"050401A",2.8992,1.5063697170955,-5.08512818245995,1.02938377768521,1.4,22.1257024230493,-13.6002,4.1414,0.87515,0.39,0.0373412077898123,0.07,0.12095,0.161195,0.047862,0.05,0.590975511840649
"050416A",0.65,0.396199347095736,-6.43533393574791,0.688419822002711,3.08,21.7516285550118,-13.54,4.15,0.94,0.92,0.0427174900232707,0.22,0.05,0.06,0.08,0.3,0.217483944213906
"050525A",0.61,0.945960703577569,-4.8153085691824,1.62013605497376,1,21.2788015992694,-11.6972,3.22416,1.03423,0.52,0.00978985163043301,0.1,0.0658,0.10234,0.034343,0.08,0.20682587603185
"050603A",2.82,1.32221929473392,-5.19654288435159,1.33243845991561,1.16,21.630055462984,-11.88,4.45,1.85,0.95,0.0216137253784409,0.06,0.13,0.08,0.09,0.08,0.582063362911709
"050730A",3.97,2.19451434188247,-5.62342304294349,-0.259637310505756,1.53,21.7385030920054,-12.3658,4.344142,1.574343,0.52,0.110547686302646,0.11,0.044456,0.054968,0.069551,0.05,0.696356388733332
"050802A",1.71,1.47712125471966,-5.69897000433602,0.439332693830263,1.54,21.2588359497469,-11.61,2.91,0.91,0.72,0.0694871171045203,0.13,0.08,0.09,0.01,0.03,0.432969290874406
"050820A",2.61,2.38861622095146,-5.46344155742847,0.389166084364532,1.25,21.6196452436817,-11.97,4.46,1.02,0.72,0.0407705023827543,0.12,0.01,0.02,0.01,0.03,0.557507201905658
"050904A",6.295,2.25904409357523,-5.31605286924849,-0.207608310501746,1.25,22.3938856786211,-14.18,5.539472,2.332396,1,0.119080745037988,0.07,0.12808,0.069062,0.187665,0.09,0.86302529622947
"050922C",2.2,0.657055852857104,-5.79048498545737,0.860936620700094,1.37,21.449308659474,-11.65,3.77,1.25,0.56,0.0191424565026227,0.06,0.01,0.01,0.01,0.01,0.505149978319906
"051109A",2.35,1.57089303621839,-5.65757731917779,0.595496221825574,1.51,21.9705723346399,-12.14,3.74,0.81,0.96,0.0760566478460009,0.2,0.03,0.04,0.02,0.04,0.525044807036845
"051111A",1.55,1.77655591070326,-5.38933983691012,0.424881636631067,1.32,21.7919655917565,-10.91,2.77,1,0.76,0.0342864064660462,0.06,0.03,0.04,0.04,0.07,0.406540180433955
"060206A",4.05,0.88024177589548,-6.08039897621589,0.445604203273598,1.2,22.3396640643506,-12.0107,4.293881,1.255402,0.77,0.0264623877862196,0.3,0.004353,0.004134,0.00376,0.01,0.703291378118661
"060210A",3.91,2.40654018043396,-5.1157712303674,0.434568904034199,1.53,22.3877421027189,-12.4544,3.243171,1.327381,0.99,0.0447067849018053,0.09,0.039346,0.035759,0.053451,0.03,0.691081492122968
"060418A",1.49,2.15836249209525,-5.07935499859321,0.81424759573192,1.7,21.6536330931589,-10.4315,2.578446,1.179912,0.69,0.0233133540898985,0.06,0.021082,0.02144,0.0063,0.11,0.396199347095736
"060605A",3.78,2.05990405588441,-6.15676722190199,-0.337242168318426,1.55,21.7733380275047,-11.3667,3.218963,1.021558,0.94,0.113294212670414,0.2,0.041244,0.054576,0.072783,0.5,0.679427896612119
"060607A",3.07,1.99694924849538,-5.59345981956604,0.146128035678238,1.47,21.7961460714919,-11.78,3.53,1.25,0.72,0.0403273447481591,0.08,0.03,0.04,0.05,0.27,0.60959440922522
"060714A",2.71,2.06066007397401,-5.54821356447571,0.107209969647868,1.93,22.01259260165,-12.8093,4.218794,1.123968,0.44,0.044108033318299,0.11,0.046522,0.074159,0.054273,0.04,0.569373909615046
"060904B",0.7,2.2341881478532,-5.79048498545737,0.387389826338729,1.64,21.5912282717963,-12.1854,3.923904,1.19811,1.11,0.0373778037703618,0.14,0.018294,0.024033,0.027284,0.1,0.230448921378274
"060927A",5.46,1.35295391171009,-5.94692155651658,0.431363764158987,0.9,22.1071047762142,-12.19,3.24,1.26,0.86,0.0273444673790936,0.4,0.26,0.23,0.06,0.03,0.810232517995084
"061007A",1.26,1.87685264760134,-4.35261702988538,1.16435285578444,1.03,21.7418619678783,-8.76,2.17,1.75,1.07,0.0110060930345345,0.03,0.07,0.03,0.01,0.19,0.354108439147401
"061121A",1.31,1.90982336965091,-4.86327943284359,1.32428245529769,1.41,21.7535156499326,-12.27,3.85,1,0.81,0.00946803135902824,0.03,0.04,0.05,0.01,0.0363,0.363611979892144
"061126A",1.1588,2.28103336724773,-5.16941133131486,0.989449817666692,1.32,21.3805820432409,-12.3053,3.5801,0.922285,0.82,0.0169090064675446,0.06,0.08165,0.101225,0.025959,0.09,0.334212409393176
"070110A",2.35,1.94655051056986,-5.79048498545737,-0.221848749616356,1.58,21.3989672022874,-12.9,4.44,0.99,1,0.0868588963806504,0.12,0.06,0.1,0.05,0.14,0.525044807036845
"070411A",2.95,2.08902150079501,-5.56863623584101,-0.0409586076789064,1.72,22.3213954223232,-12.4597,3.319089,1.33119,1.09,0.0620420688433217,0.1,0.115184,0.105245,0.219221,0.11,0.59659709562646
"070810A",2.17,1.04257551244019,-6.16115090926274,0.278753600952829,2.04,21.9310040145614,-12.45,3.77,1.5,1.01,0.0457152086213949,0.14,0.11,0.12,0.11,0.08,0.501059262217751
"071010A",0.99,0.792391689498254,-6.69897000433602,-0.0969100130080564,2.33,22.1395485191724,-13.1705,5.172418,2.253787,0.61,0.162860430713719,0.37,0.060832,0.033281,0.122333,0.12,0.298853076409707
"071010B",0.947,1.55266821611219,-5.35654732351381,0.886490725172482,1.53,21.3004715683883,-11.8207,3.16101,0.633623,0.68,0.0169205642299968,0.22,0.0527,0.19345,0.053512,0.14,0.289365951520032
"080319C",1.95,1.53071183798166,-5.44369749923271,0.716003343634799,1.37,21.7503741516549,-12.32,3.23,2,0.98,0.0250554508790338,0.07,0.25,0.13,0.56,0.42,0.469822015978163
"080413A",2.43,1.66604973848052,-5.45593195564972,0.7481880270062,1.57,21.7642007990184,-10.34,1.89,0.95,0.52,0.0155105172108304,0.06,0.04,0.06,0.04,0.37,0.535294120042771
"080413B",1.1,0.843855422623161,-5.49485002168009,1.2718416065365,1.26,21.3132976260869,-13.54,5.62,2.29,0.74,0.0185794430760749,0.27,0.05,0.02,0.1,0.04,0.322219294733919
"080603B",2.6893,1.77815125038364,-5.61978875828839,0.544068044350276,1.21,21.3161150861621,-12.2511,4.19971,1.26607,0.62115,0.0248168275373287,0.3,0.01515,0.014815,0.02688,0.06837,0.566943971856554
"080605A",1.6403,1.30102999566398,-4.87614835903291,1.29885307640971,1.11,21.7380841782878,-12.5404,3.52993,0.680096,0.57477,0.0130943059870327,0.14,0.0122,0.02324,0.010692,0.35333,0.421653275711644
"080607A",3.04,1.89998456254939,-4.61978875828839,1.36361197989214,1.31,22.383867406416,-11.2452,2.024669,1.543158,0.98,0.0206806896144406,0.04,0.028099,0.025586,0.031343,0.0606,0.606381365110605
"080810A",3.35,2.0366688103001,-5.33724216831843,0.301029995663981,1.34,21.4507954827164,-10.4242,2.750635,1.160407,0.51,0.0434294481903252,0.06,0.019425,0.025429,0.008112,0.13,0.638489256954637
"080928A",1.69,2.36858437235748,-5.60205999132796,0.322219294733919,1.77,21.5103519475309,-12.67,4.45,2.25,1.08,0.0206806896144406,0.12,0.1,0.07,0.21,0.14,0.429752280002408
"081007A",0.53,0.958563883221967,-6.14874165128092,0.414973347970818,2.51,21.6960574353335,-12.93,4.83,1.26,0.27,0.0668145356774233,0.2,0.09,0.07,0.09,0.11,0.184691430817599
"081008A",1.97,2.26829708722377,-5.36653154442041,0.113943352306837,1.69,21.1376737003314,-11.22,3.51,1.29,0.38,0.0334072678387117,0.07,0.01,0.01,0.01,0.23,0.472756449317212
"081029A",3.85,2.43128333180726,-5.67778070526608,-0.301029995663981,1.43,21.4970458132253,-12.6223,4.599535,2.252306,1.08,0.173717792761301,0.18,0.095308,0.071694,0.171741,0.02,0.685741738602264
"081228A",3.44,0.477121254719662,-7.05060999335509,-0.221848749616356,2.1,21.1693602061994,-12.9876,2.80122,1.18347,1.24,0.072382413650542,0.31,0.0492,0.047595,0.036055,0.285,0.64738297011462
"090102A",1.55,1.4320066872696,-7.16749108729376,0.740362689494244,1.36,21.7237617868897,-12.8492,3.8,1.153525,0.74,0.0631701064586548,0.08,0.071878,0.063638,0.018438,0.22,0.406540180433955
"090313A",3.38,1.89387267879508,-5.85387196432176,-0.0969100130080564,1.91,22.4411576287856,-11.4731,3.487381,0.938086,1,0.162860430713719,0.29,0.110788,0.148455,0.040385,0.103,0.6414741105041
"090423A",8.23,0.989894563718773,-6.22914798835786,0.230448921378274,0.8,22.7516324020264,-13.39,4.7,1.12,0.45,0.0510934684592061,0.5,0.08,0.09,0.1,0.13,0.965201701025912
"090726A",2.71,1.77305469336426,-6.06550154875643,-0.154901959985743,2.25,22.0268926446161,-12.2265,3.354189,1.086752,1.3,0.124084137686643,0.19,0.098827,0.0975,0.195492,0.11,0.569373909615046
"091018A",0.971,0.639486489268586,-5.85387196432176,1.01283722470517,1.77,21.1918728074286,-12.6087,4.381196,1.272917,0.60705,0.0168658051224564,0.24,0.009407,0.009379,0.012642,0.01791,0.294686624279443
"091020A",1.71,1.59006123080374,-5.431798275933,0.6232492903979,1.53,21.7058748259769,-10.8705,2.58947,1.08875,1.06,0.0310210344216608,0.07,0.04935,0.04193,0.00706,0.09,0.432969290874406
"091029A",2.75,1.59328606702046,-5.61978875828839,0.255272505103306,1.46,21.450586248672,-12.77,4.45,1.1,0.43,0.0241274712168473,0.27,0.01,0.02,0.01,0.03,0.574031267727719
